# Parity manifest: which comparison tier each corpus input and
# observable is entitled to. Published evidence, regenerated by
# `zig build parity-manifest -Denable-oracle=true`; the portable
# gate lives in conformance/parity_expectations.tsv.
#
# Coordinate deviations are in bond lengths (one bond = 50 units)
# and are per-(architecture, toolchain, optimize-mode) values: they
# describe the build that produced this file, not a promise about
# any other build.
#
# member	bucket	atoms	status	clean_pose	arch_unstable	order_unstable	arch_max_dev_bl	order_max_dev_bl
drug_like/0	small	16	ok	1	component_transforms,component_transforms_set	-	0.000	0.000
drug_like/1	small	21	ok	1	component_transforms,component_transforms_set	-	0.000	0.000
drug_like/2	small	17	ok	1	component_transforms,component_transforms_set	-	0.000	0.000
drug_like/3	small	17	ok	1	component_transforms,component_transforms_set	-	0.000	0.000
drug_like/4	small	18	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
drug_like/5	tiny	8	ok	1	component_transforms,component_transforms_set	-	0.000	0.000
drug_like/6	small	24	ok	1	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/0	large	51	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/1	tiny	8	ok	1	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/2	medium	35	ok	0	coordinates,component_transforms,component_transforms_set	-	0.046	0.000
adversarial/3	large	62	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/4	small	25	ok	1	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/5	small	21	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/6	medium	31	ok	1	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/7	small	17	ok	1	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/8	tiny	8	ok	1	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/9	small	17	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/10	medium	45	ok	0	coordinates,component_transforms,component_transforms_set	-	0.031	0.000
adversarial/11	tiny	6	ok	1	-	-	0.000	0.000
adversarial/12	medium	44	ok	0	coordinates,component_transforms,component_transforms_set	-	0.002	0.000
adversarial/13	small	17	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/14	large	50	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/15	large	58	ok	0	coordinates,component_transforms,component_transforms_set	-	29.138	0.000
adversarial/16	large	59	ok	0	coordinates,component_transforms,component_transforms_set	-	0.004	0.000
adversarial/17	small	14	ok	0	coordinates,component_transforms,component_transforms_set	-	0.128	0.000
adversarial/18	large	52	ok	0	coordinates,dofs,dofs_set,component_transforms,component_transforms_set	-	9.596	0.000
adversarial/19	small	13	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/20	small	22	ok	0	coordinates,component_transforms,component_transforms_set	-	0.008	0.000
adversarial/21	huge	79	ok	0	coordinates,component_transforms,component_transforms_set	-	30.086	0.000
adversarial/22	small	28	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/23	small	13	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
